image_id,qr_index,x0,y0,x1,y1,x2,y2,x3,y3,content
4528956445_jpg.rf.ea901d7683b238bd820f68c12502a7cb,0,250.09,34.67,323.74,41.52,315.21,133.27,241.55,126.41,http://www.lincolnlibraries.org/info/Hours_locations_and_phone_numbers.htm
4286729304_jpg.rf.ef718eae4d45201d5c779a8d471ed20f,0,410.85,281.88,452.87,266.02,482.61,344.8,440.59,360.66,http://tinyurl.com/ya34dz9
2908131194_jpg.rf.ecab4063e54ecd9be7b09b3910ba574d,0,221.76,312.87,397.86,311.59,398.81,443.37,222.71,444.65,http://brunnerdigital.com/interact08
blurredimage030_jpg.rf.e5cf7057a6c5f1983a7ded7ab0a7ee95,0,387.42,342.67,496.39,349.07,491.13,438.74,382.16,432.34,http://goo.gl/ErBxV
2686139452_jpg.rf.e2f1958b1febbb9f78b1603f49a2af47,0,13.66,477.12,86.2,476.38,87.21,574.82,14.67,575.56,"AIオフィシャルファンクラブサイト「AI music」
http://www.AImusic.tv/"
brightnessimage023_jpg.rf.e7c7a64e440c247584fa0c14af6acefa,0,443.95,257.98,545.52,258.25,545.3,339.36,443.74,339.09,Version 1 QR
brightnessimage023_jpg.rf.e7c7a64e440c247584fa0c14af6acefa,1,400.08,367.18,510.64,368.54,509.6,453.22,399.03,451.86,Version 2 QR Code Test Image
brightnessimage023_jpg.rf.e7c7a64e440c247584fa0c14af6acefa,2,144.8,253.4,330.76,248.94,334.16,390.77,148.21,395.24,ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789
5241281672_jpg.rf.ee1b15753a5c459f127e227698a177f8,0,62.2,474.43,186.12,479.01,182.8,569.11,58.88,564.54,http://qr2.it/Go/46924
glareimage017_jpg.rf.ed771eb7a086b3de49fff17bb70ea2f1,0,180.8,273.11,481.57,275.09,480.16,489.12,179.4,487.14,http://uqr.me/acgovdehvehicles
high_versionimage018_jpg.rf.eed99bfbd2b397d7ec0f652ba6828f54,0,53.57,34.03,597.33,43.32,588.31,570.78,44.55,561.48,"QR code (abbreviated from Quick Response Code) is the trademark for a type of matrix barcode (or two-dimensional barcode) first designed in 1994 for the automotive industry in Japan.[1] A barcode is a machine-readable optical label that contains information about the item to which it is attached. In practice, QR codes often contain data for a locator, identifier, or tracker that points to a website or application. A QR code uses four standardized encoding modes (numeric, alphanumeric, byte/binary, and kanji) to store data efficiently; extensions may also be used.[2]
sdfgksjdflkgjsdkfgiotmbx,cmvbofghjoaasdfaERYYKLLDFGSDFFFFFFFFFFFFFFFFFFFFFF"
curvedimage049_jpg.rf.ec8ecfdecbc33b3f51fec80ce2c41922,0,81.97,144.73,533.29,156.06,523.52,545.03,72.2,533.7,http://www.youtube.com/watch?v=7qa6Bho4OyM&feature=share&list=PLk13TE2t32tgRCVo0q8tTB1CyZyMDQCNH&index=10
4956470281_jpg.rf.ed0cbb1c0b8fcf8de7c8e6d9044d3097,0,13.67,429.8,65.5,431.94,63.06,491.23,11.23,489.09,http://organicallyspeaking.org/pccqr/?id=57
1134131119_jpg.rf.ed5baa9448306c95940068ba1c6069ad,0,419.82,263.34,510.61,218.65,565.27,329.7,474.48,374.39,
glareimage040_jpg.rf.ef11e7f0f75db08bb7d3ac5723cf1c6d,0,123.06,90.08,545.7,108.84,527.73,513.6,105.09,494.83,http://www.youtube.com/watch?v=7qa6Bho4OyM&feature=share&list=PLk13TE2t32tgRCVo0q8tTB1CyZyMDQCNH&index=10
brightnessimage014_jpg.rf.e355ea0ce26036d0cc224f5831ae86a3,0,367.23,293.92,397.05,296.48,395.21,317.9,365.39,315.34,
brightnessimage014_jpg.rf.e355ea0ce26036d0cc224f5831ae86a3,1,358.89,317.68,391.7,320.1,390.03,342.82,357.21,340.4,
brightnessimage014_jpg.rf.e355ea0ce26036d0cc224f5831ae86a3,2,304.07,292.4,349.5,295.99,346.8,330.13,301.36,326.53,
4917222006_jpg.rf.ece6925763291c22ac63961d200e1a70,0,451.05,107.03,608.79,108.09,607.25,338.25,449.52,337.2,http://dlpc.es/qpjk
4917222006_jpg.rf.ece6925763291c22ac63961d200e1a70,1,102.54,351.86,177.51,348.71,180.77,426.24,105.79,429.38,
0494045485_jpg.rf.e6c1fe8917c8f2db08674e958eae35ed,0,209.16,245.97,440.23,234.68,454.85,533.74,223.78,545.03,
blurredimage005_jpg.rf.f19ad89862a8d291f95743c86218a29f,0,308.61,337.25,433.85,338.05,433.26,431.74,308.01,430.95,Version 2 QR Code Test Image
blurredimage005_jpg.rf.f19ad89862a8d291f95743c86218a29f,1,35.98,204.98,241.15,205.42,240.81,364.1,35.64,363.66,ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789
blurredimage005_jpg.rf.f19ad89862a8d291f95743c86218a29f,2,364.16,220.32,475.21,220.74,474.87,307.83,363.82,307.4,Version 1 QR
IMG_20220604_164253_jpg.rf.f1df64ce9b47f73b90813425c9b11648,0,188.25,413.1,238.45,414.96,237.05,452.89,186.85,451.03,
5117982907_jpg.rf.f20b8ecca85b7d1818958394431c066e,0,342.3,265.21,429.51,261.43,434.85,384.91,347.65,388.69,http://pcb.fm/od/5
5117982907_jpg.rf.f20b8ecca85b7d1818958394431c066e,1,115.51,392.48,182.91,392.58,182.76,491.74,115.36,491.63,http://pcb.fm/od/7
2716844652_jpg.rf.f4446bc4e4b6e33a285b11f92d1c40bf,0,288.95,348.67,326.88,375.12,302.41,410.22,264.48,383.77,147979153
high_versionimage019_jpg.rf.f735f77fc33613b55767e7d1559331b5,0,23.8,25.81,603.3,32.88,596.29,607.43,16.79,600.36,"QR code (abbreviated from Quick Response Code) is the trademark for a type of matrix barcode (or two-dimensional barcode) first designed in 1994 for the automotive industry in Japan.[1] A barcode is a machine-readable optical label that contains information about the item to which it is attached. In practice, QR codes often contain data for a locator, identifier, or tracker that points to a website or application. A QR code uses four standardized encoding modes (numeric, alphanumeric, byte/binary, and kanji) to store data efficiently; extensions may also be used.[2]
sdfgksjdflkgjsdkfgiotmbx,cmvbofghjoaasdfaERYYKLLDFGSDFFFFFFFFFFFFFFFFFFFFFF"
5117983633_jpg.rf.f46461108709752cc20389c0604103d0,0,365.53,508.05,388.98,507.76,389.39,541.01,365.94,541.3,
5117983633_jpg.rf.f46461108709752cc20389c0604103d0,1,450.33,390.88,479.46,389.37,481.78,433.88,452.65,435.4,http://pcb.fm/od/3
rotationsimage004_jpg.rf.f55e736ffc3e1b6e2a25e7acba43e067,0,302.98,188.42,430.31,189.47,429.57,279.25,302.24,278.2,Version 1 QR
rotationsimage004_jpg.rf.f55e736ffc3e1b6e2a25e7acba43e067,1,416.49,266.63,564.74,262.91,567.51,373.39,419.26,377.1,Version 2 QR Code Test Image
rotationsimage004_jpg.rf.f55e736ffc3e1b6e2a25e7acba43e067,2,127.4,337.46,381.9,332.65,385.54,525.23,131.04,530.04,ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789
IMG_20220602_172150_jpg.rf.fcc9fc0d716298a573810cc76f75d798,0,369.18,225.14,407.15,222.22,409.14,248.11,371.17,251.03,
IMG_20220602_172150_jpg.rf.fcc9fc0d716298a573810cc76f75d798,1,443.48,409.08,476.8,411.12,475.58,430.9,442.27,428.85,
IMG_20220602_172150_jpg.rf.fcc9fc0d716298a573810cc76f75d798,2,230.26,149.01,270.62,148.6,270.94,180.07,230.58,180.47,
bright_spotsimage029_jpg.rf.f0d7bae76ed2548b20973418cba30bc6,0,446.92,256.89,546.49,257.44,546.04,339.35,446.47,338.8,Version 1 QR
bright_spotsimage029_jpg.rf.f0d7bae76ed2548b20973418cba30bc6,1,399.83,364.46,509.84,367.34,507.53,455.61,397.52,452.73,Version 2 QR Code Test Image
bright_spotsimage029_jpg.rf.f0d7bae76ed2548b20973418cba30bc6,2,147.45,250.29,338.27,250.38,338.21,396.75,147.38,396.66,ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789
curvedimage029_jpg.rf.f808e92b62e32319b82a34d22f18c5dd,0,321.48,344.15,356.62,350.05,351.97,377.76,316.82,371.86,
curvedimage029_jpg.rf.f808e92b62e32319b82a34d22f18c5dd,1,566.0,131.91,629.23,165.01,607.26,207.0,544.03,173.9,
4071142993_jpg.rf.fa8658a322ed3fe8a1b83b6f803845c4,0,122.12,414.9,162.47,415.57,161.51,472.99,121.17,472.31,
IMG_20220602_155756_jpg.rf.f6500029d5a796840f3259341f8cc077,0,140.45,454.05,258.26,436.66,270.61,520.39,152.8,537.77,https://vejasp.abril.com.br/coluna/marcelo-copello-vinho-algo-mais/toscanos/
glareimage001_jpg.rf.f5f1e18fa01aadd62855351b5bc8053c,0,157.07,388.42,226.68,378.63,235.33,440.14,165.72,449.93,
1103_U72oYkT2C_jpg.rf.f8df74eb25cc07cdbcd0a16ff54bd2a6,0,231.59,273.61,409.21,273.87,409.0,420.48,231.37,420.22,http://www.lubes.id/197/U72oYkT2C
2781830325_jpg.rf.f24e182c9fa7ca64210785a84b683961,0,322.81,303.29,479.64,331.21,458.3,451.09,301.47,423.16,http://m.ralphlauren.com/default.aspx?ab=nym
4941559651_jpg.rf.fa9d47928b07ef125f71a933798629bd,0,224.38,381.29,255.79,365.36,281.11,415.27,249.7,431.2,
5098699881_jpg.rf.f54f7f4acecf65b7e4e9a724e2148ea4,0,197.73,350.13,274.13,349.51,274.96,452.78,198.56,453.4,http://snap.vu/5h8z
nominalimage017_jpg.rf.f9db3d80c7114e9283700437cb15cbce,0,68.16,218.01,288.95,200.35,304.05,389.08,83.26,406.74,http://www.lonelyplanet.com/
3359230395_jpg.rf.fbbfabab7302d100d3efcbc0c2e9ba08,0,241.45,200.93,354.4,202.12,353.42,294.99,240.47,293.81,URL:http://www.cityofmanor.org/smartcode/smartcode1.html
perspectiveimage008_jpg.rf.fe5c7aca599dfdd9e9218d82290289fa,0,231.24,247.39,317.97,241.63,328.74,403.88,242.01,409.64,TEST 10 CM
5243755298_jpg.rf.fdc668c82408304511921f6ed68e20bf,0,87.21,137.06,232.35,137.14,232.24,335.38,87.1,335.29,http://www.mobile.hellovenezia.com/mobile/it/rete-di-navigazione/s-marco-vallaresso.html
5275251433_jpg.rf.f318573f6bc0ed7ca38c2733d1a60146,0,142.55,379.19,395.65,342.93,415.06,478.4,161.95,514.66,HTTP://WWW.QRARTS.COM
0193927093_jpg.rf.1418fb337aac78778df364a0a8f5ec5b,0,215.19,234.79,322.59,219.01,341.52,347.89,234.12,363.66,http://en.wikipedia.org/wiki/Spime
IMG_20220530_164835_jpg.rf.17b07633f61ae0b9084d7dfd2f80b132,0,350.55,147.96,391.42,144.71,394.35,181.63,353.48,184.88,
0330745745_jpg.rf.1f9243017c5f150b39c54ba1753f9a54,0,305.76,375.47,365.59,375.57,365.45,455.37,305.62,455.27,
4763260540_jpg.rf.232d3db687a6d00758dbad6971afeec4,0,309.41,203.2,546.22,196.01,555.22,492.31,318.41,499.5,http://maps.google.com/m/place?hl=en&georestrict=input_srcid%3Aca968773fc387bbf&utm_medium=QR
curvedimage045_jpg.rf.0f41b97593d650ee661ec46f5af4a742,0,67.2,69.66,556.48,72.68,553.61,538.24,64.32,535.22,http://www.youtube.com/watch?v=7qa6Bho4OyM&feature=share&list=PLk13TE2t32tgRCVo0q8tTB1CyZyMDQCNH&index=10
5148591627_jpg.rf.1cdcbbc3ab79bb3b42ce86d2ed6f5fca,0,224.8,199.24,420.35,203.2,416.6,387.76,221.06,383.8,http://media.payzen.eu/b2
4823426566_jpg.rf.0bbb13ea8ba04ca0c3475b7abffdce0b,0,156.13,79.55,457.75,48.94,495.22,418.25,193.6,448.86,http://keithdeverell.net/30.php
2595337510_jpg.rf.0cd17a402cae13c332266fe611e95477,0,223.91,302.18,264.24,300.63,266.25,353.04,225.92,354.59,http://japan.linkbox.eu
2595337510_jpg.rf.0cd17a402cae13c332266fe611e95477,1,403.74,300.37,423.36,300.68,422.96,326.74,403.33,326.44,
4401_W4V5aRQjB_jpg.rf.105de5d97d4efce52cedaa92c84d87ad,0,165.34,165.52,490.81,195.99,463.41,488.65,137.94,458.17,http://lubes.id/191/W4V5aRQjB
closeimage030_jpg.rf.1c82cd49e7e5891bd9847ef9604e3a31,0,36.13,137.94,590.68,132.03,595.57,591.49,41.02,597.4,ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789
noncompliantimage002_jpg.rf.0ba4349166d278645c72005c4d51a76c,0,69.39,237.16,304.57,228.5,317.49,579.22,82.31,587.89,http://q-r.to/bafD2I
noncompliantimage002_jpg.rf.0ba4349166d278645c72005c4d51a76c,1,303.78,84.07,498.21,54.9,542.04,347.06,347.6,376.23,http://q-r.to/baf6RY
5046378711_jpg.rf.136afcfa07411242eb45f634b8a88d1e,0,520.04,331.78,551.72,333.86,550.1,358.53,518.41,356.44,
IMG_20220602_172324_jpg.rf.129d697440645424bb8b75c57948fbba,0,335.45,311.73,403.52,311.6,403.63,365.33,335.55,365.47,https://wa.me/message/OCXSQ6ZD3X3AF1?src=qr
IMG_20220602_172324_jpg.rf.129d697440645424bb8b75c57948fbba,1,169.05,306.18,241.32,305.37,241.95,361.76,169.68,362.57,https://www.instagram.com/thecaptainsbarbershop/
pathologicalimage011_png_jpg.rf.1f331d696a2b888c7b32410238e337f8,0,50.77,45.61,584.05,51.51,578.09,591.33,44.8,585.43,MAILTO:name@myemail.com
4349887791_jpg.rf.17115f267fc07839cb1e964e662f0069,0,100.2,86.73,345.37,21.01,449.81,410.6,204.64,476.33,http://www.ttbeauty.com/timessq/
rotationsimage010_jpg.rf.227719e032302170a858e2d62a81a9e1,0,355.68,349.16,570.66,369.51,555.37,531.07,340.39,510.72,ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789
rotationsimage010_jpg.rf.227719e032302170a858e2d62a81a9e1,1,131.0,330.65,254.24,334.69,251.23,426.46,127.99,422.42,Version 1 QR
rotationsimage010_jpg.rf.227719e032302170a858e2d62a81a9e1,2,227.93,223.66,363.88,234.91,355.46,336.7,219.5,325.45,Version 2 QR Code Test Image
IMG_20220601_164254_jpg.rf.0bb5fa497351f2e36564fa21f1a9a350,0,223.36,81.4,273.79,58.89,316.43,154.42,266.0,176.93,
IMG_20220601_164254_jpg.rf.0bb5fa497351f2e36564fa21f1a9a350,1,310.23,125.93,359.1,103.68,413.65,223.47,364.78,245.72,
4059282918_jpg.rf.15695cf30d491e6e40e542a49a6bfd6a,0,61.63,142.01,336.71,147.87,329.04,507.72,53.95,501.85,
4059282918_jpg.rf.15695cf30d491e6e40e542a49a6bfd6a,1,329.82,184.59,472.04,175.18,490.91,460.3,348.68,469.71,
4613809117_jpg.rf.1cc6d261d22d514a05b002cddc4ddf52,0,328.26,455.66,377.68,458.99,375.3,494.24,325.88,490.9,
blurredimage014_jpg.rf.1cd1fcb4fda7be97b92543f229eb329b,0,126.67,174.3,190.12,174.85,189.41,255.92,125.96,255.37,http://flydulles.com/survey
4872978369_jpg.rf.168d8f035b22b6a3a1951b0174d1ba1e,0,178.84,63.83,279.84,68.74,274.95,169.08,173.96,164.16,
4872978369_jpg.rf.168d8f035b22b6a3a1951b0174d1ba1e,1,256.35,72.13,273.23,74.22,271.57,87.71,254.68,85.62,
closeimage038_jpg.rf.0ba05c588f3cb66f1a852a6271305dc9,0,31.35,250.94,619.99,256.09,617.04,592.77,28.4,587.62,VERSION 1 6CM
IMG_20220602_160416_jpg.rf.0e7b0a4af019d3a3497c0fe824121f2b,0,345.94,395.09,445.37,393.09,446.96,471.91,347.53,473.91,https://veja.abril.com.br/blog/radar/?utm_source=qrcode&utm_medium=revista&utm_campaign=Se%C3%A7%C3%A3o%20Radar
2413404095_jpg.rf.0fba6583d7951a817772d13fbc9f895b,0,143.27,433.07,476.85,395.74,498.94,593.1,165.36,630.43,http://www.b3ok.org
664_U7JGADtrC_jpg.rf.1a2b948593dde942b66674783f9692bd,0,96.37,61.57,579.94,62.83,578.84,486.02,95.27,484.77,http://www.lubes.id/197/U7JGADtrC
damagedimage014_jpg.rf.23e098c3fc1a988af837dfec236314f0,0,74.19,107.87,529.87,109.48,528.35,537.13,72.67,535.51,
4501_W4vVKpWjB_jpg.rf.26c2fe6ca840dbffeca384f8f1a7970a,0,211.33,135.82,429.99,126.81,438.7,338.21,220.04,347.22,http://lubes.id/191/W4vVKpWjB
curvedimage036_jpg.rf.23b22f84532760fdce85fa35cc5dcf29,0,297.45,335.93,410.49,337.13,409.25,454.9,296.21,453.7,
shadowsimage010_jpg.rf.2773704bcee4df3a9bc0da5010a6a873,0,111.57,159.64,408.62,103.26,470.35,428.52,173.31,484.9,HTTPS://NUTS.COM/QR/retail_piece/51707477?sku=7030-01
nominalimage043_jpg.rf.2a312b4f50c167fe5b85a1d7fd27705a,0,259.67,260.35,308.0,263.77,305.91,293.27,257.58,289.84,
nominalimage043_jpg.rf.2a312b4f50c167fe5b85a1d7fd27705a,1,241.19,244.41,258.03,245.8,256.94,259.04,240.09,257.65,
closeimage018_jpg.rf.27de960a2eab6594a1ab3c31fa54cf6f,0,29.28,95.47,623.05,93.08,624.89,549.31,31.12,551.71,VERSION 2 8CM
IMG_20220602_170338_jpg.rf.296c289cacc5024481e9ced45627b9b4,0,340.83,488.97,380.54,491.24,379.35,512.15,339.64,509.89,
5210682827_jpg.rf.328c82608e6b8e5fc8ffcd8d9c67046a,0,279.08,552.2,376.61,550.19,378.1,622.53,280.57,624.54,KIWICON4
5121473172_jpg.rf.2e3d3b29754bbabd1bb6939b24e2ae79,0,251.67,483.13,345.92,485.51,342.54,619.53,248.29,617.15,"Filipe Vieira Lopes (B-)
912681205
Yamaha WR 250F"
5121473172_jpg.rf.2e3d3b29754bbabd1bb6939b24e2ae79,1,465.64,525.78,535.63,526.1,535.2,619.88,465.21,619.56,"Filipe Vieira Lopes (B-)
912681205
Yamaha WR 250F"
5121473172_jpg.rf.2e3d3b29754bbabd1bb6939b24e2ae79,2,385.76,521.6,451.38,522.98,449.37,618.55,383.74,617.16,"Filipe Vieira Lopes (B-)
912681205
Yamaha WR 250F"
5121473172_jpg.rf.2e3d3b29754bbabd1bb6939b24e2ae79,3,138.94,484.04,220.44,490.06,211.33,613.37,129.83,607.35,"Filipe Vieira Lopes (B-)
912681205
Yamaha WR 250F"
5121473172_jpg.rf.2e3d3b29754bbabd1bb6939b24e2ae79,4,64.28,516.96,121.54,520.86,115.43,610.64,58.17,606.74,"Jo瓊o Branco (O-)
916875540
Honda XR 400R"
5121473172_jpg.rf.2e3d3b29754bbabd1bb6939b24e2ae79,5,4.27,516.61,55.11,519.55,50.05,607.06,-0.79,604.12,
5330422656_jpg.rf.2e791b365e92e95add0e9318b62e80d0,0,403.4,250.36,528.81,251.56,527.35,404.31,401.94,403.11,http://ebongo.org/stop/7035
curvedimage030_jpg.rf.26c5b5fcb1f3b6d2d4da580776dc22f2,0,316.68,249.42,511.82,252.78,508.22,462.07,313.08,458.72,IPN:J68574-001 D/C:2017/10/13
2423605457_jpg.rf.2a46b7d4dccf41d30184201d97741826,0,175.87,265.74,293.92,264.38,295.5,402.34,177.45,403.69,http://taiko-dojo.net/entry/fDpW9VJdYWGsV-VJMIW6DL
curvedimage043_jpg.rf.2f11de42046e623853b153b804eb389e,0,135.43,282.83,350.04,129.87,513.55,359.29,298.93,512.24,43445177
3910499736_jpg.rf.2e8abe2aad4693d928896512d45cdef6,0,269.0,195.57,432.95,184.36,441.77,313.27,277.82,324.49,http://p8t.ch/31by1
IMG_20220601_163453_jpg.rf.332c5b10a16f9f3d6be5eaa3f42d6527,0,83.02,352.69,171.71,347.82,174.52,398.98,85.83,403.84,
nominalimage045_jpg.rf.320fa00a7993bf530a7eb5f8d96cb6b6,0,410.83,312.27,585.5,375.48,508.75,587.55,334.08,524.34,http://www.boschautoparts.com/qr/icon.aspx
nominalimage045_jpg.rf.320fa00a7993bf530a7eb5f8d96cb6b6,1,74.76,73.56,264.91,93.63,242.64,304.55,52.5,284.48,http://www.boschautoparts.com/qr/icon.aspx
blurredimage006_jpg.rf.3024294529b701308be70f4fe248cfc5,0,272.83,321.29,443.29,322.95,442.11,444.11,271.65,442.45,https://www.surveymonkey.com/s/TheClubatLAS_T3
glareimage015_jpg.rf.2a5435622d26aeeadfd3b4940be6396a,0,209.5,174.53,398.49,170.03,404.44,419.77,215.44,424.27,"豁｣螳鈴刀隗る浹闌ｶ蜿ｶ 荵仙刀荵占幻 
http://detail.tmall.com/item.htm?id=13996190738"
curvedimage005_png_jpg.rf.2b6ec98a4af78439a25b29d7593f8bfe,0,356.13,47.6,533.15,53.02,523.3,375.28,346.27,369.87,
noncompliantimage013_jpg.rf.31c480d2c2051c451c962e66c74746ca,0,67.0,239.49,300.23,227.34,318.42,576.67,85.19,588.82,http://q-r.to/bafD2I
noncompliantimage013_jpg.rf.31c480d2c2051c451c962e66c74746ca,1,302.79,83.26,496.53,53.7,541.31,347.25,347.58,376.8,http://q-r.to/baf6RY
3905670538_jpg.rf.278fb4b882d1836da06a08d40e9d03cd,0,179.38,119.65,438.25,124.08,431.97,490.87,173.11,486.44,NICE ART
1586_U7QijHUcC_jpg.rf.2b77ddf7125bfcdd84ac9cb3317b4a15,0,228.79,195.72,411.8,197.35,410.35,360.54,227.34,358.91,http://www.lubes.id/197/U7QijHUcC
4195660045_jpg.rf.2cbcc5c10fae64a8990cfce7716254d8,0,238.47,220.66,309.68,222.84,306.94,312.39,235.72,310.21,http://www.youtube.com/watch?v=BLutES53Rek
4354342598_jpg.rf.2927756846cf9f99ad8b711f1cef26a7,,,,,,,,,,
1806_U7hXo6PCC_jpg.rf.299cfb8fe7acf020364e562941a592a3,0,201.79,265.49,405.2,266.61,404.19,448.85,200.78,447.73,http://www.lubes.id/197/U7hXo6PCC
5230841770_jpg.rf.33cfab2f2b755fbff14e72b3f5700387,0,329.56,194.93,530.58,171.57,564.8,466.02,363.77,489.38,HTTP://SCN.BY/9T9AB0HTW8GNVT
5117984259_jpg.rf.38c21f0f9aa6b14e46f31812a6138e20,0,290.08,283.5,372.15,276.08,383.67,403.52,301.61,410.94,
4952260665_jpg.rf.40f8d177dbf585606e31ab33c3282ff1,0,33.96,445.56,131.01,445.99,130.52,558.39,33.47,557.97,http://organicallyspeaking.org/pccqr/?id=54
4567505369_jpg.rf.3605c74904cbed9b9321a41c78a1e96f,0,484.65,382.18,528.29,383.22,526.06,476.72,482.42,475.68,
3002670645_jpg.rf.3b02e97da16caefcd19f9685ebca7ec8,0,230.18,229.13,341.45,230.15,340.09,377.88,228.82,376.86,http://08.tigtags.com/qt1
closeimage017_jpg.rf.40c3c6e684a9ba7e6f134908944d158f,0,6.89,117.74,619.34,109.7,625.39,570.34,12.94,578.38,VERSION 2 8CM
5077511105_jpg.rf.45b781ec6a962fbdb364af9e3bf710b2,0,354.28,281.73,487.36,300.97,464.14,461.6,331.05,442.36,http://bit.ly/9f6xcU
5077511105_jpg.rf.45b781ec6a962fbdb364af9e3bf710b2,1,94.14,6.37,266.06,41.43,207.72,327.52,35.79,292.46,
4791733019_jpg.rf.4542da48b883c53bfe5effcb7179531b,0,329.88,542.12,386.19,544.67,384.37,584.95,328.06,582.4,http://petit24.jp/39/
5200811157_jpg.rf.3cdbbbe6b7f97b26c599c9a0238db4a9,0,300.84,374.75,347.5,374.92,347.28,436.88,300.61,436.71,http://m.qrcode.nu/c/rpCWot
3615900549_jpg.rf.456b34c6c86c557335f77813a57c5799,0,168.81,203.57,210.47,204.03,209.85,259.54,168.19,259.08,http://d.kaywa.com/1100500969
3615900549_jpg.rf.456b34c6c86c557335f77813a57c5799,1,268.48,418.0,298.4,419.24,296.76,458.92,266.84,457.68,
3615900549_jpg.rf.456b34c6c86c557335f77813a57c5799,2,552.5,373.85,580.43,370.43,585.04,408.06,557.11,411.49,
rotationsimage035_jpg.rf.43ba2b13cd50aa40a11ddab470d40186,0,74.91,346.49,212.7,339.96,217.07,432.06,79.27,438.6,Version 1 QR
rotationsimage035_jpg.rf.43ba2b13cd50aa40a11ddab470d40186,1,103.0,230.68,237.31,230.09,237.67,311.32,103.35,311.9,Version 2 QR Code Test Image
rotationsimage035_jpg.rf.43ba2b13cd50aa40a11ddab470d40186,2,340.8,250.98,580.82,259.63,575.42,409.16,335.41,400.5,ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789
glareimage005_jpg.rf.43fb3355b0da61501071c59469286953,0,290.24,386.14,368.27,386.19,368.23,453.33,290.2,453.29,http://albtsn.com/ugtezn8
bright_spotsimage025_jpg.rf.3ffb604e381e0043e8cfc3aba41017f8,0,429.44,257.24,533.95,258.83,532.72,339.45,428.21,337.85,
